date,2019-08-09 00:00:00,2019-08-10 00:00:00,2019-08-11 00:00:00,2019-08-17 00:00:00,2019-08-18 00:00:00,2019-08-19 00:00:00,2019-08-23 00:00:00,2019-08-24 00:00:00,2019-08-25 00:00:00,2019-08-31 00:00:00,2019-09-01 00:00:00,2019-09-14 00:00:00,2019-09-15 00:00:00,2019-09-16 00:00:00,2019-09-20 00:00:00,2019-09-21 00:00:00,2019-09-22 00:00:00,2019-09-28 00:00:00,2019-09-29 00:00:00,2019-09-30 00:00:00,2019-10-05 00:00:00,2019-10-06 00:00:00,2019-10-19 00:00:00,2019-10-20 00:00:00,2019-10-21 00:00:00,2019-10-25 00:00:00,2019-10-26 00:00:00,2019-10-27 00:00:00,2019-11-02 00:00:00,2019-11-03 00:00:00,2019-11-08 00:00:00,2019-11-09 00:00:00,2019-11-10 00:00:00,2019-11-23 00:00:00,2019-11-24 00:00:00,2019-11-25 00:00:00,2019-11-30 00:00:00,2019-12-01 00:00:00,2019-12-03 00:00:00,2019-12-04 00:00:00,2019-12-05 00:00:00,2019-12-07 00:00:00,2019-12-08 00:00:00,2019-12-09 00:00:00,2019-12-14 00:00:00,2019-12-15 00:00:00,2019-12-16 00:00:00,2019-12-21 00:00:00,2019-12-22 00:00:00,2019-12-26 00:00:00,2019-12-27 00:00:00,2019-12-28 00:00:00,2019-12-29 00:00:00,2020-01-01 00:00:00,2020-01-02 00:00:00,2020-01-10 00:00:00,2020-01-11 00:00:00,2020-01-12 00:00:00,2020-01-18 00:00:00,2020-01-19 00:00:00,2020-01-21 00:00:00,2020-01-22 00:00:00,2020-01-23 00:00:00,2020-01-29 00:00:00,2020-02-01 00:00:00,2020-02-02 00:00:00,2020-02-08 00:00:00,2020-02-09 00:00:00,2020-02-14 00:00:00,2020-02-15 00:00:00,2020-02-16 00:00:00,2020-02-17 00:00:00,2020-02-19 00:00:00,2020-02-22 00:00:00,2020-02-23 00:00:00,2020-02-24 00:00:00,2020-02-28 00:00:00,2020-02-29 00:00:00,2020-03-01 00:00:00,2020-03-07 00:00:00,2020-03-08 00:00:00,2020-03-09 00:00:00,2020-06-17 00:00:00,2020-06-19 00:00:00,2020-06-20 00:00:00,2020-06-21 00:00:00,2020-06-22 00:00:00,2020-06-23 00:00:00,2020-06-24 00:00:00,2020-06-25 00:00:00,2020-06-27 00:00:00,2020-06-28 00:00:00,2020-06-29 00:00:00,2020-06-30 00:00:00,2020-07-01 00:00:00,2020-07-02 00:00:00,2020-07-04 00:00:00,2020-07-05 00:00:00
Arsenal,0,0,3,6,6,6,6,6,6,6,7,7,8,8,8,8,11,11,11,12,12,15,15,15,15,15,15,16,17,17,17,17,17,18,18,18,18,19,19,19,19,19,19,22,22,22,22,23,23,24,24,24,24,27,27,27,28,28,29,29,30,30,30,30,30,31,31,31,31,31,34,34,34,34,37,37,37,37,37,40,40,40,40,40,40,40,40,40,40,43,43,43,43,43,46,46,49,49
Aston Villa,0,0,0,0,0,0,3,3,3,3,3,3,3,4,4,4,4,5,5,5,8,8,11,11,11,11,11,11,11,11,11,11,11,11,11,14,14,15,15,15,15,15,15,15,15,15,15,15,15,18,18,18,18,21,21,21,21,21,22,22,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27
Bournemouth,0,1,1,4,4,4,4,4,4,4,4,4,7,7,10,10,10,11,11,11,11,11,12,12,12,12,13,13,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,23,23,23,23,26,26,26,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
Brighton,0,3,3,4,4,4,4,4,4,4,4,5,5,5,5,6,6,6,6,6,9,9,9,9,9,9,12,12,15,15,15,15,15,15,15,15,15,15,15,15,18,18,19,19,19,19,20,20,20,20,20,23,23,24,24,24,24,24,25,25,25,25,25,25,26,26,27,27,27,27,27,27,27,28,28,28,28,28,28,29,29,29,29,29,32,32,32,33,33,33,33,33,33,33,33,33,36,36
Burnley,0,3,3,3,3,3,3,3,4,4,4,5,5,5,5,8,8,9,9,9,12,12,12,12,12,12,12,12,12,12,12,15,15,18,18,18,18,18,18,18,18,18,18,18,21,21,21,24,24,24,24,24,24,24,24,24,24,24,24,27,27,30,30,30,30,31,31,31,31,34,34,34,34,37,37,37,37,38,38,39,39,39,39,39,39,39,39,39,39,42,42,42,45,45,45,45,45,46
Chelsea,0,0,0,0,1,1,1,4,4,5,5,8,8,8,8,8,8,11,11,11,11,14,17,17,17,17,20,20,23,23,23,26,26,26,26,26,26,26,26,29,29,29,29,29,29,29,29,29,32,32,32,32,35,36,36,36,39,39,39,39,40,40,40,40,41,41,41,41,41,41,41,41,41,44,44,44,44,45,45,45,48,48,48,48,48,51,51,51,51,54,54,54,54,54,54,54,57,57
Crystal Palace,0,1,1,1,1,1,1,4,4,7,7,7,7,7,7,7,8,11,11,11,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,18,18,21,21,21,22,22,22,22,22,23,23,23,26,26,27,27,28,28,28,29,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,33,33,33,33,36,36,39,39,39,39,39,42,42,42,42,42,42,42,42,42,42,42,42,42,42
Everton,0,1,1,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7,7,10,10,10,10,10,10,10,11,11,14,14,14,14,14,14,14,14,14,14,17,17,17,17,18,18,19,19,22,22,25,25,25,25,25,28,28,29,29,30,30,30,30,33,33,36,36,36,36,36,36,36,36,36,36,36,36,37,37,37,37,37,37,37,38,38,38,41,41,41,41,41,41,44,44,44,44
Leicester,0,0,1,1,2,2,2,5,5,8,8,8,8,8,8,11,11,11,14,14,14,14,17,17,17,20,20,20,20,23,23,26,26,29,29,29,29,32,32,35,35,35,38,38,39,39,39,39,39,39,39,42,42,45,45,45,45,45,45,45,45,48,48,48,49,49,49,49,50,50,50,50,50,50,50,50,50,50,50,50,50,53,53,53,54,54,54,55,55,55,55,55,55,55,55,55,58,58
Liverpool,3,3,3,6,6,6,6,9,9,12,12,15,15,15,15,15,18,21,21,21,24,24,24,25,25,25,25,28,31,31,31,31,34,37,37,37,40,40,40,43,43,46,46,46,49,49,49,49,49,52,52,52,55,55,58,58,61,61,61,64,64,64,67,70,73,73,73,73,73,76,76,76,76,76,76,79,79,79,79,82,82,82,82,82,82,83,83,83,86,86,86,86,86,86,86,86,86,89
